;23110000100100200001 Общий прирост постоянного населения;23110000100100200001 Общий прирост постоянного населения;23110000100100200001 Общий прирост постоянного населения;23110000100100200001 Общий прирост постоянного населения;23110000100100200001 Общий прирост постоянного населения;23110000100100200001 Общий прирост постоянного населения;23110000100100200001 Общий прирост постоянного населения;
;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.;2023 г.;2024 г.;
Новосибирская область;6099;6332;-10725;-3935;-3226;-4734;-2992;
Омская область;-18398;-20014;-25460;-26590;-19473;-13971;-12287;
Томская область;-1355;1313;-9445;-2545;-10620;-8721;-3657;
Дальневосточный федеральный округ (с 03.11.2018);-44609;-29712;-56715;-43354;-62711;-37520;-6066;
Республика Бурятия;-1746;2557;-1143;-3004;-3323;-2706;-783;
Забайкальский край;-10901;-9994;-10373;-14200;-8091;-8034;-557;
Республика Саха (Якутия);3334;5323;10529;10582;-268;4099;4897;
Камчатский край;-2634;-3529;-3115;-678;-3844;217;-747;
Приморский край;-12191;-8593;-19478;-16233;-21885;-13683;-6734;
Хабаровский край;-6950;-6216;-15345;-2336;-8674;-5958;-4644;
Амурская область;-6031;-3951;-8998;-10122;-7372;-6115;2963;
Магаданская область;-3023;-1256;-1293;-1439;-1592;-928;1157;
Сахалинская область;-2129;-2563;-4386;-3260;-5474;-2945;7;
Еврейская автономная область;-2443;-1941;-2147;-2987;-2122;-1656;-1374;
Чукотский автономный округ;105;451;-966;323;-66;189;-251;
Российская Федерация без учета новых субъектов (с 01.01.2023);;;;;;-296635;-30861;
;;;;;;;;
